TIMING,GRID_NUM,TYPE,NOTE_TYPE,ANGLE,EVENT_NAME,DURATION,EVENT_TYPE,VALUE0,VALUE1,VALUE2,VALUE3,VALUE4
1688,144,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
1688,144,1,3,90,2,1,1,60,-1,-1,-1,-1
2438,208,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
2438,208,1,3,90,2,1,1,100,-1,-1,-1,-1
2812,240,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
3094,264,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
3188,272,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
3938,336,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
4688,400,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
5438,464,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
5812,496,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
6188,528,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
6656,568,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
6750,576,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
6844,584,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
7219,616,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
7594,648,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
8438,720,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
8812,752,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
9000,768,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
9188,784,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
9938,848,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
10219,872,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
10594,904,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
10688,912,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
11438,976,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
11625,992,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
11812,1008,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
12000,1024,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
12188,1040,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
12375,1056,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
12562,1072,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
12750,1088,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
12938,1104,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
13125,1120,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
13312,1136,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
13500,1152,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
13688,1168,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
14438,1232,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
14719,1256,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
15094,1288,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
