TIMING,GRID_NUM,TYPE,NOTE_TYPE,ANGLE,EVENT_NAME,DURATION,EVENT_TYPE,VALUE0,VALUE1,VALUE2,VALUE3,VALUE4
2318,136,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
2455,144,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
2727,160,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
3682,216,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
3818,224,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
3955,232,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
4091,240,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
4227,248,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
4364,256,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
4500,264,0,0,90,-1,-1,-1,-1,-1,-1,-1,-1
